,Date,Volume,SOL_Returns,BTC_Returns,ETH_Returns,MA,MA_td,3MA,3MA_td,%K,%K_td,%D,%D_td,RSI,RSI_td,Momentum,Momentum_td,EMA12,EMA26,MACD,Signal,MACD_td,TP,SMA_TP,MD,CCI,CCI_td,20D_SMA,20D_STD,Upper_BB,Lower_BB,BB_td,TR,ATR,ATR_td,Indicator
219,2020-11-15,18621333,0.06584086935111655,-0.007004593580968277,-0.027362302185387488,2.0261246,1,1.8236601000000001,1,59.482890957481246,1,57.719743438001224,1,60.97669660831825,0,0.6380159999999999,0,1.9304793590889973,1.9325333312670416,-0.002053972178044372,-0.0631841978860992,1,2.0563803333333333,1.7587498,0.2676760133333334,74.12705870976392,0,1.7578060999999998,0.2937969175510833,2.3453999351021664,1.1702122648978333,0,0.2922109999999998,0.26278285714285715,1,Buy
220,2020-11-16,22156135,0.10381630297851352,0.04766502132014727,0.027663891758541004,2.0602861,1,1.8254438333333334,1,65.20940026876386,1,58.92200472047966,1,68.54845946860938,0,0.3416150000000002,0,1.9804602269214593,1.956446047469483,0.02401417945197637,-0.04574452241848409,1,2.2034730000000002,1.7845747500000002,0.28632338333333335,97.53499583192735,0,1.78506225,0.31375900952732505,2.41258026905465,1.1575442309453499,0,0.36535800000000007,0.27727378571428574,1,Hold
221,2020-11-17,17074175,-0.023576776161624347,0.05559276938072344,0.04439656330360142,2.0773078,1,1.8250409666666667,1,70.09742981325793,1,64.92990701316766,1,68.83162208358463,0,0.17021700000000006,0,2.0145711150873886,1.9746486365458176,0.03992247854157105,-0.028611122226473062,1,2.217652333333333,1.818729833333333,0.29206055000000003,91.05931401325286,0,1.8206686500000004,0.3188838168830867,2.458436283766174,1.182901016233827,0,0.18559599999999987,0.285651,0,Sell
222,2020-11-18,14629648,-0.039575311929401,0.008988152879733313,-0.001823646555873193,2.0731509000000004,1,1.8269392666666666,1,53.60645470147569,0,62.971094927832475,0,66.69557158749458,0,-0.04156899999999997,0,2.030026174304713,1.985047181986868,0.04497899231784519,-0.013893099317609412,1,2.1112146666666667,1.8508196666666668,0.2828012333333333,61.38469221668882,0,1.8549733000000004,0.31133906470972866,2.4776514294194576,1.2322951705805432,0,0.1932290000000001,0.29009378571428573,0,Hold
223,2020-11-19,10155987,-0.018089586478483133,0.0007348899513748286,-0.016379351247268747,2.0779626,0,1.8332091666666666,1,46.36686515933342,0,56.690249891355656,0,65.33315980665475,0,0.048116999999999965,0,2.0372173782578344,1.9918413907285815,0.04537598752925298,-0.002039281948236934,1,2.0899856666666667,1.8844711500000002,0.26297090500000003,52.10069827982593,0,1.8867449500000002,0.29908782487537655,2.4849205997507533,1.288569300249247,0,0.15685599999999988,0.28827314285714284,0,Hold
224,2020-11-20,11113990,0.008967294870060094,0.04513782082492157,0.08081356378631654,2.0627031000000002,1,1.8400429666666667,1,49.890724961824674,1,49.95468160754458,0,55.34281273860771,0,-0.15259500000000026,0,2.0461673200643213,1.999511806230168,0.04665551383415334,0.007699677208241121,1,2.127585,1.9155183833333331,0.24381616333333342,57.985386412286296,0,1.91447955,0.29091682082096704,2.496313191641934,1.332645908358066,0,0.173419,0.26203907142857136,0,Buy
225,2020-11-21,20288343,0.1368779684183199,0.0011233347169341545,0.07796466602072738,2.1007111000000003,1,1.8542613666666667,1,82.51791335631837,1,59.59183449249215,1,59.371974600694124,0,0.38008,0,2.09786542466981,2.0278594502131186,0.07000597445669143,0.020160936657931186,1,2.309852333333333,1.9518228999999998,0.23225903000000017,102.7672805181735,-1,1.9535978,0.29887364312903775,2.5513450862580758,1.3558505137419246,0,0.45030400000000004,0.24873664285714284,1,Hold
226,2020-11-22,16416065,-0.099638780037822,-0.01460288997785153,0.015617271621601203,2.1252818,1,1.8604216999999998,1,43.23092491528334,0,58.54652107780877,0,49.70339896259037,0,0.24570700000000012,0,2.1050930516436854,2.036525046493628,0.06856800515005723,0.029842350356356396,0,2.2008680000000003,1.9856671833333333,0.20978154333333338,68.38886244780288,0,1.9871364500000002,0.27922046697273717,2.5455773839454743,1.4286955160545258,0,0.34988300000000017,0.25298707142857146,1,Hold
227,2020-11-23,15487339,0.061324711109660646,-0.0003201338255187647,0.09028633717946755,2.1508403,1,1.8725733333333332,1,64.32501695937289,1,63.357951743658184,1,56.24034255191909,0,0.25558499999999995,0,2.1314444283138876,2.0542918578644707,0.07715257044941692,0.03930439437496851,1,2.249430333333333,2.0263900166666664,0.17834440999999995,83.3743790704988,0,2.0303435999999997,0.25101136762671517,2.53236633525343,1.5283208647465694,0,0.23128400000000005,0.25303878571428573,0,Hold
228,2020-11-24,25036626,-0.0036944671291266884,0.04047804663207488,-0.007488281271846975,2.1859354,1,1.8885902666666667,1,60.33179834358569,0,55.96258007274728,0,50.563152572068304,0,0.350951,0,2.152447900880982,2.0701196461708062,0.08232825471017557,0.047909166442009925,1,2.2927153333333337,2.072908766666667,0.1382519366666666,105.99324294778017,-1,2.0741292,0.2062307943605703,2.4865907887211405,1.661667611278859,0,0.32258900000000024,0.2549617857142858,1,Hold
229,2020-11-25,24870951,0.0009113889223255622,-0.019643827847620643,-0.0549946064877479,2.2086154000000002,1,1.9080758666666668,1,54.6021132000595,0,59.75297616767267,1,58.75435497373782,0,0.2267999999999999,0,2.1705380699762156,2.0849281168248206,0.08560995315139497,0.055449323783886936,1,2.3101326666666666,2.118495183333333,0.10490083166666668,121.78961805392322,-1,2.11737,0.13796125157640696,2.3932925031528143,1.8414474968471863,0,0.29481,0.25387850000000006,1,Sell
230,2020-11-26,33038223,-0.16167026573170262,-0.08442706723194093,-0.09091766797711254,2.1733836,0,1.9145027000000001,0,21.330586860504283,0,45.4214994680498,0,50.10865827238085,0,-0.35231800000000013,0,2.129384059210644,2.0714547007637227,0.05792935844692115,0.05594533071649378,0,1.978744,2.1298580833333336,0.09367595833333331,-107.5438394382291,1,2.11683485,0.1388108448047187,2.3944565396094375,1.8392131603905626,0,0.550209,0.277567,1,Hold
231,2020-11-27,13307808,-0.023692655476483138,-0.002461759137513564,-0.0025201062248231265,2.1389604,0,1.9267659,0,15.377078835653984,0,30.436592965405904,0,45.25955247785998,0,-0.34423199999999987,0,2.0876248193320834,2.0556394636701136,0.031985355661969805,0.05115333570558899,0,1.8696549999999998,2.1173714333333336,0.1059353,-155.89165168634926,1,2.1081341,0.14945608811389247,2.407046276227785,1.8092219237722151,0,0.19029000000000007,0.27958928571428576,0,Hold
232,2020-11-28,11661883,0.016677529899905785,0.035597229171640654,0.040070214340942156,2.116351,0,1.9420992000000001,0,19.468531099183327,1,18.725398931780514,0,49.146370898364,0,-0.2260939999999998,0,2.0570571548194554,2.043290984879735,0.013766169939720463,0.04367590255241529,0,1.8797866666666667,2.10476445,0.11647111666666668,-128.77457792229922,1,2.09475095,0.15669659670690367,2.408144143413807,1.7813577565861927,0,0.12900500000000004,0.27750307142857145,0,Hold
233,2020-11-29,6139511,0.013880837614846486,0.025967125358366205,0.06972534818617637,2.1001895999999998,0,1.9578931666666668,0,22.930671367360542,1,19.258760434065934,1,45.85451996144492,0,-0.16161400000000015,0,2.035226054078001,2.033799430444199,0.00142662363380186,0.03522604676869261,0,1.9054223333333333,2.0970902666666666,0.12414529999999999,-102.92666917090074,1,2.0890760999999998,0.1612066670597656,2.411489434119531,1.7666627658804686,0,0.08665800000000012,0.2628207142857143,0,Buy
234,2020-11-30,8716571,0.027014001477687177,0.07967832804147301,0.06788349989169151,2.0873394999999997,0,1.9720995333333333,0,29.761994361808174,1,24.05373227611733,1,39.58175926634874,0,-0.12850099999999998,0,2.0247129688352317,2.0288432504112954,-0.004130281576063766,0.02735478109974133,0,1.9641373333333334,2.0858255333333333,0.12556388,-64.60891991125682,0,2.0750213000000004,0.15885941766696285,2.392740135333926,1.7573024646660746,0,0.101661,0.24398521428571435,0,Hold
235,2020-12-01,12847022,0.004787758955631105,-0.04192625952848217,-0.04475677869056449,2.0467497999999997,0,1.9846484666666666,0,31.90013775414552,1,28.19760116110473,1,41.576058377173645,0,-0.40589699999999995,0,2.0172660505528883,2.024951750380829,-0.007685699827940873,0.020346684914204893,0,2.012971,2.0821335666666667,0.12915736666666666,-35.69937895743558,0,2.07373045,0.15958615825364555,2.392902766507291,1.7545581334927087,0,0.19807700000000006,0.2448767142857143,0,Hold
236,2020-12-02,15849828,0.07038022413510436,0.02117182318505395,0.01877702091729727,2.0438054,1,2.0060261,1,50.79622982934242,1,37.48612064843201,1,50.013356292752704,0,-0.029444000000000248,0,2.032363735083213,2.031651694797064,0.0007120402861491293,0.01641975598859374,1,2.086512666666667,2.0901064666666667,0.12119654666666668,-1.976844004685907,0,2.0845436000000004,0.15437523033843362,2.3932940606768676,1.7757931393231332,0,0.23073699999999997,0.24755585714285716,0,Hold
237,2020-12-03,18106122,-0.0071050358773584454,0.012723580699623094,0.030678217969613897,2.0262048,1,2.028964,1,48.754371045002394,0,43.81691287616343,1,50.86178189710319,0,-0.1760060000000001,0,2.0428263912242572,2.036742013700985,0.0060843775232721775,0.014352680295529427,1,2.1355703333333333,2.0972008833333335,0.11864851666666668,21.559168249188563,0,2.08852255,0.15366952276763038,2.3958615955352607,1.7811835044647393,0,0.13627999999999973,0.24608614285714286,0,Sell
238,2020-12-04,9019864,-0.11636896529232221,-0.03834494908280672,-0.0767859281514317,1.9850034,0,2.0444206,0,15.54964447475458,0,38.36674844969978,0,42.49486103962783,0,-0.4120140000000001,0,2.0140766387282176,2.0233502349083192,-0.009273596180101595,0.009627425000403223,0,1.9384563333333336,2.097027266666667,0.11882213333333333,-88.96823562239449,0,2.0854694,0.15780730866952303,2.401084017339046,1.7698547826609539,0,0.2647259999999998,0.25260807142857145,1,Hold
239,2020-12-05,7750781,0.06617678357156676,0.024303237436966496,0.04784591493660173,1.9558773999999999,1,2.0635391333333333,0,43.12561226733843,1,35.80987592903178,0,35.90560204028158,0,-0.29125999999999985,0,2.008645463539261,2.020048291581777,-0.0114028280425158,0.0054213743918194186,0,1.92833,2.09062475,0.12522464999999997,-86.40191847212184,0,2.0822464,0.15936586696371677,2.4009781339274334,1.7635146660725662,0,0.15522800000000014,0.2315312142857143,0,Hold
240,2020-12-06,7167230,-0.06293038012425878,0.009965977245024016,0.008906433865430996,1.9509986000000001,0,2.0615561,0,16.75620879606849,0,25.143821846053815,0,38.97871565756935,0,-0.048788000000000054,0,1.984892161456298,2.0077668625757195,-0.02287470111942147,-0.00023784071042875967,0,1.884667,2.07468445,0.13099903833333332,-96.70170225040957,0,2.0621911,0.16165656210488574,2.3855042242097717,1.7388779757902286,0,0.16804399999999986,0.2185427142857143,0,Hold
241,2020-12-07,6425070,-0.012444930535219445,-0.007934312442613889,-0.01672281532618458,1.948321,0,2.0548630666666665,0,5.266314575365735,0,21.7160452129242,0,31.601376660903014,0,-0.026776000000000133,0,1.9612430596937906,1.9946858357182586,-0.03344277602446799,-0.006878827773236606,0,1.8454486666666667,2.056074266666667,0.13531243333333332,-103.77247914887371,1,2.0436407,0.1659762000982839,2.3755931001965678,1.7116882998034324,0,0.08620300000000003,0.20817978571428572,0,Sell
242,2020-12-08,11304051,-0.09055452434040911,-0.04535760063307914,-0.06254293956929657,1.9259627,0,2.0384882,0,3.5136861250529305,0,8.512069832162366,0,27.963241290284827,1,-0.2235830000000001,0,1.9157213582024382,1.9702907367761653,-0.05456937857372712,-0.01641693793333471,0,1.7140130000000002,2.0362141833333336,0.14767246833333342,-145.45757331287388,1,2.0211568499999997,0.18514709116020178,2.3914510323204032,1.650862667679596,0,0.18647499999999995,0.19845735714285714,0,Hold
243,2020-12-09,10461119,-0.0018302436962275292,0.012705073343324269,0.033616499350386464,1.9006776000000003,0,2.0262766,0,22.104303865201484,1,10.294768188540031,1,27.792126734664635,1,-0.25285099999999994,0,1.87673407232514,1.9474769044223754,-0.07074283209723542,-0.027282116766114854,0,1.6134190000000002,2.0123858500000003,0.1614165016666666,-164.77739094436464,1,2.0004336,0.2011026259153387,2.4026388518306776,1.5982283481693227,0,0.170601,0.1895852857142857,0,Hold
244,2020-12-10,6167983,-0.05303061293241185,-0.015572121149564633,-0.02406469106601783,1.8614036000000003,0,2.0038154,0,9.82046558552132,0,11.812818525258558,1,34.905620543549304,0,-0.39273999999999987,0,1.8301828304289645,1.9198231337244216,-0.08964030329545714,-0.03975375407198331,0,1.5948419999999999,1.9857487000000003,0.1712063066666667,-152.21662784540737,1,1.97437155,0.22094512359633556,2.4162617971926714,1.532481302807329,0,0.11989500000000008,0.15884857142857142,0,Sell
245,2020-12-11,8273918,-0.08230849518248251,-0.011283218130002659,-0.02480203242672907,1.8082313000000003,0,1.9852307333333334,0,0.5101779410483908,0,10.81164913059038,0,32.39370990961828,0,-0.531723,0,1.7708600872860467,1.884620309004094,-0.11376022171804734,-0.054555047601196116,0,1.4872986666666665,1.9446210166666666,0.1729492516666667,-176.283831082588,1,1.9274905500000004,0.22917555986864174,2.385841669737284,1.4691394302627168,1,0.13610699999999998,0.15497835714285713,0,Hold
246,2020-12-12,7085231,0.03206941786049278,0.04124015171417228,0.04171870467611627,1.7457824,0,1.9716232,0,6.444150693985469,1,5.591598073518374,0,33.26581184291625,0,-0.6244889999999998,0,1.727791150780501,1.8554567305593463,-0.1276655797788453,-0.06917715403672596,0,1.4896823333333333,1.9090617333333335,0.18063826666666669,-154.77687636506704,1,1.8947938999999998,0.2427781923075003,2.3803502846150004,1.4092375153849992,0,0.09672299999999989,0.1526725,0,Buy
247,2020-12-13,8389349,0.04999892683136231,0.018013867010571394,0.037103585070265455,1.6922909000000002,0,1.9564453333333334,0,18.594156990121665,1,8.516161875051822,1,35.8716037411874,0,-0.534915,0,1.7028165121988856,1.8339751949623577,-0.1311586827634721,-0.0815734597820752,0,1.5554966666666667,1.8743650500000002,0.18250650666666665,-116.47744845090946,1,1.8592478500000003,0.23591603315593432,2.331079916311869,1.3874157836881316,0,0.18479800000000002,0.15968249999999998,1,Hold
248,2020-12-14,8672052,0.016729949612125816,0.005446642615944075,-0.006193432031119772,1.6658602000000002,0,1.9455996666666668,0,27.80141948403816,1,17.613242389381746,1,34.51996610642155,0,-0.26430700000000007,0,1.68571335647598,1.8160248842244053,-0.13031152774842525,-0.09132107337534522,1,1.5794043333333334,1.8386995,0.18367404999999998,-94.1142444697247,0,1.8254318,0.22232740450625346,2.270086609012507,1.3807769909874932,0,0.0991709999999999,0.1595046428571428,0,Buy
249,2020-12-15,19470080,0.10619509614575118,0.008855135279580262,0.005707096002465439,1.6440499,1,1.9361808999999999,0,58.91245288019793,1,35.10267645145257,1,42.13942901802737,0,-0.21810299999999994,0,1.6972453016335218,1.8119245965040789,-0.11467929487055706,-0.09599271767438758,1,1.7164490000000001,1.8090153166666667,0.17215175333333335,-35.84679016210101,0,1.79996365,0.19637642863946264,2.1927165072789254,1.4072107927210746,0,0.21014999999999984,0.16036699999999993,1,Hold
250,2020-12-16,18277631,0.013021740007076898,0.09751836307520456,0.07945327696059823,1.6369848,1,1.9204556666666668,0,75.36949060177636,1,54.02778765533747,1,36.78571627699883,0,-0.07065100000000002,0,1.7105303321514416,1.8098263300963693,-0.09929599794492772,-0.09665337372849561,1,1.7270666666666667,1.79643145,0.16902113833333338,-27.359411577083815,0,1.7939917,0.1948873855741012,2.1837664711482025,1.4042169288517976,0,0.1775660000000001,0.15656907142857138,1,Hold
251,2020-12-17,15461477,-0.058849583818775364,0.07013245133363033,0.010511356577203923,1.6217309,1,1.9030041,0,60.881019185173635,0,65.0543208890493,1,34.32676405989275,0,-0.15253899999999998,0,1.705623204128143,1.8001083797188604,-0.09448517559071745,-0.09621973410093998,1,1.7123236666666666,1.7885648833333334,0.16956535000000003,-29.975155760170274,0,1.78502595,0.19591216309558218,2.1768502761911646,1.3932016238088356,0,0.14790300000000012,0.15739928571428569,0,Hold
252,2020-12-18,7879397,0.012013339417645597,0.014593135861492579,0.01857764767046044,1.6250757,1,1.8891297999999999,0,71.2234978676921,1,69.15800255154734,1,42.99145611705093,0,0.033448000000000144,0,1.704573480416121,1.7926040552952411,-0.08803057487912014,-0.09458190225657602,1,1.6807046666666665,1.7786107833333336,0.16940186166666674,-38.53012227981202,0,1.7755192000000002,0.19521650534150678,2.1659522106830136,1.3850861893169866,0,0.06933999999999996,0.14344314285714285,0,Hold
253,2020-12-19,9095045,-0.017747233341182,0.03163075151527428,0.006850763785158698,1.6257104000000002,1,1.8755258666666668,0,62.90694531030185,0,65.00382078772252,0,34.9232508913631,0,0.0063470000000001026,0,1.699046944967487,1.7834223474955937,-0.08437540252810671,-0.09254060231088215,1,1.699056,1.7682924666666668,0.16497535999999996,-27.978508090204887,0,1.763194,0.1937122988278264,2.1506185976556527,1.3757694023443472,0,0.09999099999999994,0.13949764285714283,0,Sell
254,2020-12-20,9093229,-0.06297002788480033,-0.016444904534318017,-0.03186280372769812,1.6246528999999998,0,1.8577986666666666,0,33.92217765738532,0,56.017540278459734,0,35.59642865283625,0,-0.010575000000000001,0,1.6782052611263352,1.7671374328662903,-0.08893217173995516,-0.09181891619669676,0,1.5919066666666668,1.7496809333333334,0.1584189466666667,-66.39536915099069,0,1.74302825,0.19237933583634242,2.127786921672685,1.3582695783273153,0,0.15671600000000008,0.1386885,1,Hold
255,2020-12-21,8333991,-0.013853499925811197,-0.028717656494923083,-0.04460813241853345,1.6343859000000003,0,1.829789,0,27.926349423587354,0,41.58515746375816,0,35.646416888973576,0,0.09732999999999992,0,1.6572375286453604,1.7504542896910096,-0.09321676104564913,-0.09209848516648723,0,1.551797333333333,1.7266222500000001,0.1459695916666668,-79.84535896393808,0,1.7213086,0.18915026078183161,2.099609121563663,1.3430080784363367,0,0.12317500000000003,0.14132935714285713,0,Sell
256,2020-12-22,11066565,-0.03348368749250119,0.042974334112722,0.04105539898157562,1.6343233000000001,0,1.8079703666666667,0,9.324003918817853,0,23.724176999930155,0,40.20252422142231,0,-0.0006260000000000154,0,1.6315526780845357,1.7311825645287124,-0.0996298864441767,-0.09360476542202513,0,1.5129503333333334,1.6979441333333334,0.13219393333333337,-93.29414511709813,0,1.69005285,0.17141866043090848,2.0328901708618172,1.347215529138183,0,0.09959499999999988,0.13512364285714284,0,Sell
257,2020-12-23,16776307,-0.19096602933933493,-0.022776055448425536,-0.0805532798667673,1.5983469,0,1.7722808666666665,0,16.204438123370352,1,17.818263821925168,0,30.56920602228142,0,-0.359764,0,1.5660356506869149,1.6922573375265857,-0.12622168683967083,-0.10012814970555428,0,1.2688126666666666,1.6546062499999998,0.13004525000000006,-197.774022674586,1,1.6453189000000001,0.17539799987995236,1.9961148997599047,1.2945229002400955,1,0.42042400000000013,0.15296814285714286,1,Hold
258,2020-12-24,9236939,0.12998012759477562,0.021281190956862428,0.04778461597499861,1.5754231,0,1.7420955666666667,0,38.18550575839566,1,21.237982600194602,1,41.48623317595915,0,-0.22923799999999983,0,1.5347083198120048,1.6678240532653572,-0.13311573345335237,-0.10672566645511392,0,1.3063609999999999,1.6230014833333335,0.1301045316666667,-162.24927206716106,1,1.62064165,0.1788879727033858,1.9784175954067718,1.2628657045932283,0,0.210661,0.15945142857142855,1,Buy
259,2020-12-25,9359549,0.06091787482163924,0.03913227941423503,0.024204307163968597,1.5438963,0,1.7146078666666666,0,49.826427606636564,1,34.73879049613417,1,50.03416983997822,0,-0.3152680000000001,0,1.5209690398409272,1.6513484196901456,-0.13037937984921832,-0.1114564091339348,1,1.4151876666666665,1.5973443666666667,0.12170483666666672,-99.7805866438998,0,1.5939731,0.16161077379664715,1.9171946475932942,1.2707515524067057,0,0.105688,0.15727864285714285,0,Sell
260,2020-12-26,6798656,-0.08382783209942135,0.07185327829659482,0.015046213146938214,1.4979603000000001,0,1.6953145666666667,0,32.83176171420797,0,40.281231693080045,1,43.44731876081145,0,-0.45936,0,1.490702726019246,1.6271180182316163,-0.13641529221237025,-0.1164481857496219,0,1.3617263333333334,1.5711973333333336,0.11914630000000007,-117.2066051008998,1,1.5674725500000002,0.16013328313446323,1.8877391162689268,1.2472059837310736,0,0.13409300000000002,0.15994792857142856,0,Sell
261,2020-12-27,12286531,-0.0160061861991575,-0.006231492066254174,0.07361415934080395,1.4604011,0,1.6768176666666668,0,31.580360573392703,0,38.079516631412396,0,39.23166443979739,0,-0.3755919999999999,0,1.4618318450932082,1.6031123872514965,-0.14128054215828834,-0.12141465703135519,0,1.326679,1.54525885,0.11933728000000006,-122.10760962542463,1,1.5410660000000003,0.15788906328013189,1.856844126560264,1.2252878734397366,0,0.14049499999999981,0.15678342857142852,0,Buy
262,2020-12-28,12668150,0.16318967462292067,0.030926634860497515,0.0699561140900471,1.4420895999999999,1,1.664376,0,63.12541444578122,1,42.512512244460616,1,47.296578772230156,0,-0.18311500000000014,0,1.4701169458480992,1.5966362844921262,-0.1265193386440271,-0.12243559335388957,1,1.442357333333333,1.5316760666666667,0.1174029266666667,-50.71919747902571,0,1.53358265,0.1552124765377453,1.8440076030754906,1.2231576969245095,0,0.22268900000000014,0.16560614285714287,1,Buy
263,2020-12-29,26355259,0.10467874261472532,0.01025035510354333,0.0015372495764254257,1.442659,1,1.6563489999999998,1,91.64806305408828,1,62.11794602442072,1,46.90485751573995,0,0.005693999999999866,0,1.5015366464868531,1.6023924856408578,-0.10085583915400465,-0.11811964251391259,1,1.6138823333333334,1.5316992333333332,0.11742377666666667,46.658977328640496,0,1.5341847000000002,0.15576043490165015,1.8457055698033005,1.2226638301966999,0,0.28786199999999984,0.171157,1,Hold
264,2020-12-30,12663616,-0.08295064637216343,0.054034499850387885,0.027475410239626852,1.4398471000000002,1,1.6419678666666668,0,69.85900997927588,0,74.87749582638178,1,41.78613585823512,0,-0.028119000000000005,0,1.5067551624119526,1.5974343015193126,-0.09067913910736003,-0.11263154183260209,1,1.582027,1.5310584833333334,0.11684710166666674,29.079892120939444,0,1.53225,0.155477939011172,1.843205878022344,1.2212941219776559,0,0.15095799999999993,0.16925642857142856,0,Sell
265,2020-12-31,12763260,-0.015994586627955054,0.005574281033751349,-0.01838105845116278,1.4367454,1,1.6264542000000002,0,66.00614036876729,0,75.83773780071046,1,44.13549859589847,0,-0.03101699999999985,0,1.507392522040883,1.5910242051104746,-0.08363168306959157,-0.10683157008,1,1.497257,1.5315564,0.11629939333333335,-19.661552834698,0,1.5355656500000001,0.15421196722021124,1.8439895844404226,1.2271417155595776,0,0.12034699999999998,0.16728814285714286,0,Buy
266,2021-01-01,25722549,0.21919811926417276,0.012841708421854836,-0.010078364967591291,1.4719252,1,1.6173436333333335,1,97.71642440821579,1,77.86052491875297,1,54.11471722734154,0,0.35179800000000006,0,1.5588835186499779,1.6096212269541432,-0.05073770830416535,-0.09561279772483308,1,1.7345926666666667,1.5438019166666666,0.12190839999999996,104.33557764135487,-1,1.55312425,0.16821645635653043,1.8895571627130607,1.2166913372869392,0,0.357618,0.18787942857142856,1,Hold
267,2021-01-02,31671064,-0.023239439678103713,0.09372577638184532,0.06047286569359289,1.5312835,1,1.6073070999999999,1,76.72145125249911,0,80.1480053431607,1,53.724078787712905,0,0.593583,0,1.5958668234730582,1.6236696545871698,-0.027802831114111637,-0.0820508044026888,1,1.836684,1.5578612833333332,0.13376228833333337,138.9642876383042,-1,1.5648152000000002,0.17701372248668523,1.9188426449733706,1.2107877550266297,0,0.2678130000000001,0.19986671428571426,1,Buy
268,2021-01-03,55073422,0.20145725361603972,0.020380066820508524,0.25947532907594084,1.6112179000000002,1,1.6175004,1,81.46956728678224,1,85.30248098249903,1,64.87128439153571,0,0.7993439999999998,0,1.68292608140028,1.6635276060992312,0.019398475301048768,-0.06176094846194129,1,2.108878333333333,1.5843349833333333,0.1578194166666667,221.57955849327783,-1,1.5933205000000001,0.22179956691940417,2.0369196338388083,1.1497213661611918,-1,0.5650790000000003,0.2290355,1,Buy
269,2021-01-04,59955405,0.14957543696039144,-0.024712000359957687,0.06635041698133626,1.7151873000000002,1,1.6343778333333332,1,100.0,1,86.0636728464271,1,70.38993247327338,-1,1.0396940000000001,1,1.8063369919540833,1.724384598240029,0.08195239371405427,-0.033018280026742175,1,2.282178666666667,1.6126214666666665,0.18817738000000003,237.20782310109047,-1,1.6295417999999997,0.2969782372369775,2.223498274473955,1.0355853255260445,-1,0.6087550000000002,0.2637197857142857,1,Hold
